city code,city,state
3567,Dorado,Puerto Rico
11870,Saint Thomas,Virgin Islands
65,Agawam,Massachusetts
10412,Pelham,Massachusetts
265,Amherst,Massachusetts
5278,Granby,Massachusetts
14632,Whately,Massachusetts
13120,Sunderland,Massachusetts
2408,Chicopee,Massachusetts
880,Belchertown,Massachusetts
12653,South Hadley,Massachusetts
7869,Ludlow,Massachusetts
9998,Orange,Massachusetts
6127,Holyoke,Massachusetts
3900,Easthampton,Massachusetts
9695,Northampton,Massachusetts
714,Barre,Massachusetts
7521,Leverett,Massachusetts
12720,Southampton,Massachusetts
5414,Greenfield,Massachusetts
3351,Deerfield,Massachusetts
14541,West Springfield,Massachusetts
5553,Hadley,Massachusetts
14749,Williamsburg,Massachusetts
12814,Springfield,Massachusetts
8828,Montague,Massachusetts
519,Athol,Massachusetts
1209,Blandford,Massachusetts
2981,Coventry,Connecticut
3890,East Windsor,Connecticut
13959,Vernon,Connecticut
14206,Ware,Massachusetts
4104,Ellington,Connecticut
7749,Longmeadow,Massachusetts
12831,Stafford,Connecticut
8043,Manchester,Connecticut
4186,Enfield,Connecticut
10212,Palmer,Massachusetts
1543,Brimfield,Massachusetts
2373,Chester,Massachusetts
3156,Cummington,Massachusetts
5333,Granville,Massachusetts
845,Becket,Massachusetts
14582,Westfield,Massachusetts
12073,Savoy,Massachusetts
12739,Southwick,Massachusetts
3841,East Longmeadow,Massachusetts
5669,Hardwick,Massachusetts
35,Adams,Massachusetts
1684,Buckland,Massachusetts
14964,Worthington,Massachusetts
10662,Pittsfield,Massachusetts
2370,Cheshire,Massachusetts
6300,Huntington,Massachusetts
10090,Otis,Massachusetts
14803,Winchester,Connecticut
694,Barkhamsted,Connecticut
5364,Great Barrington,Massachusetts
9589,North Canaan,Connecticut
13046,Suffield,Connecticut
12317,Sheffield,Massachusetts
8842,Monterey,Massachusetts
14817,Windsor Locks,Connecticut
9542,Norfolk,Connecticut
2703,Colebrook,Connecticut
11979,Sandisfield,Massachusetts
1961,Canton,Connecticut
12459,Simsbury,Connecticut
9374,New Marlborough,Massachusetts
6047,Hinsdale,Massachusetts
10679,Plainfield,Massachusetts
3222,Dalton,Massachusetts
7303,Lanesborough,Massachusetts
3817,East Granby,Connecticut
14814,Windsor,Connecticut
13745,Tyringham,Massachusetts
11724,Russell,Massachusetts
9559,North Adams,Massachusetts
4573,Florida,Massachusetts
6246,Hubbardston,Massachusetts
14718,Wilbraham,Massachusetts
14596,Westminster,Massachusetts
9786,Oakham,Massachusetts
14439,West Brookfield,Massachusetts
9585,North Brookfield,Massachusetts
10683,Plainville,Connecticut
9347,New Hartford,Connecticut
582,Avon,Connecticut
5633,Hancock,Massachusetts
1753,Burlington,Connecticut
4432,Farmington,Connecticut
1555,Bristol,Connecticut
14755,Williamstown,Massachusetts
1230,Bloomfield,Connecticut
2536,Clarksburg,Massachusetts
7442,Lee,Massachusetts
5619,Hampden,Massachusetts
8823,Monson,Massachusetts
12584,Somers,Connecticut
13511,Tolland,Connecticut
5853,Hebron,Connecticut
12716,South Windsor,Connecticut
1322,Bolton,Connecticut
3827,East Hartford,Connecticut
5092,Glastonbury,Connecticut
2753,Columbia,Connecticut
12832,Stafford Springs,Connecticut
13650,Troy,New Hampshire
8178,Marlborough,Connecticut
8077,Mansfield,Connecticut
14127,Wales,Massachusetts
299,Andover,Connecticut
13336,Templeton,Massachusetts
14759,Willington,Connecticut
11688,Royalston,Massachusetts
14221,Warren,Massachusetts
10534,Phillipston,Massachusetts
3791,East Brookfield,Massachusetts
542,Auburn,Massachusetts
2747,Colrain,Massachusetts
11194,Readsboro,Vermont
12837,Stamford,Vermont
11742,Rutland,Massachusetts
12763,Spencer,Massachusetts
4936,Gardner,Massachusetts
14955,Worcester,Massachusetts
2312,Charlton,Massachusetts
10138,Oxford,Massachusetts
8650,Millbury,Massachusetts
13163,Sutton,Massachusetts
13028,Sturbridge,Massachusetts
5268,Grafton,Massachusetts
6077,Holden,Massachusetts
7461,Leicester,Massachusetts
12400,Shrewsbury,Massachusetts
10363,Paxton,Massachusetts
10989,Princeton,Massachusetts
1018,Bernardston,Massachusetts
5503,Guilford,Vermont
5586,Halifax,Vermont
6088,Holland,Massachusetts
3898,Eastford,Connecticut
489,Ashford,Connecticut
13764,Union,Connecticut
13564,Torrington,Connecticut
1602,Brooklyn,Connecticut
12723,Southbridge,Massachusetts
14944,Woodstock,Connecticut
10784,Pomfret,Connecticut
5622,Hampton,Connecticut
2288,Chaplin,Connecticut
3666,Dudley,Massachusetts
13407,Thompson,Connecticut
978,Bennington,Vermont
11045,Putnam,Connecticut
14353,Webster,Massachusetts
14802,Winchendon,Massachusetts
5751,Harwinton,Connecticut
14479,West Hartford,Connecticut
5719,Hartford,Connecticut
14812,Windham,Connecticut
7433,Lebanon,Connecticut
7488,Lenox,Massachusetts
3824,East Haddam,Connecticut
3723,Durham,Connecticut
14616,Wethersfield,Connecticut
9461,Newington,Connecticut
9306,New Britain,Connecticut
2544,Claverack,New York
2855,Copake,New York
6026,Hillsdale,New York
8664,Millerton,New York
12293,Sharon,Connecticut
14542,West Stockbridge,Massachusetts
12945,Stockbridge,Massachusetts
3985,Egremont,Massachusetts
556,Austerlitz,New York
140,Alford,Massachusetts
9205,Nassau,New York
3797,East Chatham,New York
13839,Valatie,New York
14283,Watertown,Connecticut
6893,Kinderhook,New York
1051,Bethlehem,Connecticut
7618,Litchfield,Connecticut
11885,Salisbury,Connecticut
9055,Mount Washington,Massachusetts
1925,Canaan,New York
9361,New Lebanon,New York
2856,Copake Falls,New York
12108,Schodack Landing,New York
5246,Goshen,Connecticut
2323,Chatham Village,New York
6168,Hoosick,New York
2321,Chatham,New York
12908,Stephentown,New York
2907,Cornwall,Connecticut
6169,Hoosick Falls,New York
11968,Sand Lake,New York
290,Ancram,New York
5028,Ghent,New York
8938,Morris,Connecticut
10668,Pittstown,New York
10507,Petersburgh,New York
14912,Woodbury,Connecticut
10746,Poestenkill,New York
9699,Northeast,New York
3852,East Nassau,New York
13405,Thomaston,Connecticut
3023,Craryville,New York
14246,Washington,Connecticut
8596,Middlebury,Connecticut
10943,Pownal,Vermont
9902,Old Chatham,New York
1658,Brunswick,New York
3072,Cromwell,Connecticut
5548,Haddam,Connecticut
8512,Meriden,Connecticut
8603,Middletown,Connecticut
9583,North Branford,Connecticut
1010,Berlin,Connecticut
14148,Wallingford,Connecticut
3825,East Hampton,Connecticut
10892,Portland,Connecticut
14786,Wilmington,Vermont
8598,Middlefield,Connecticut
11537,Rocky Hill,Connecticut
2694,Colchester,Connecticut
7972,Madison,Connecticut
4051,Elizaville,New York
14262,Wassaic,New York
8648,Millbrook,New York
256,Amenia,New York
3596,Dover Plains,New York
2606,Clinton Corners,New York
14823,Wingdale,New York
6808,Kent,Connecticut
4902,Gallatin,New York
10611,Pine Plains,New York
11212,Red Hook,New York
12847,Stanfordville,New York
13234,Taghkanic,New York
3595,Dover,New York
6254,Hudson,New York
11896,Salt Point,New York
1478,Brattleboro,Vermont
4534,Fitzwilliam,New Hampshire
13069,Sullivan,New Hampshire
6741,Keene,New Hampshire
13152,Surry,New Hampshire
10504,Peterborough,New Hampshire
5069,Gilsum,New Hampshire
6534,Jaffrey,New Hampshire
2379,Chesterfield,New Hampshire
11397,Rindge,New Hampshire
11049,Putney,Vermont
13181,Swanzey,New Hampshire
9455,Newfane,Vermont
483,Ashby,Massachusetts
596,Ayer,Massachusetts
4529,Fitchburg,Massachusetts
482,Ashburnham,Massachusetts
7495,Leominster,Massachusetts
12381,Shirley,Massachusetts
13043,Sudbury,Massachusetts
14585,Westford,Massachusetts
5473,Groton,Massachusetts
2605,Clinton,Massachusetts
14435,West Boylston,Massachusetts
3612,Dracut,Massachusetts
12984,Stow,Massachusetts
12911,Sterling,Massachusetts
10470,Pepperell,Massachusetts
7830,Lowell,Massachusetts
9202,Nashua,New Hampshire
6095,Hollis,New Hampshire
7655,Littleton,Massachusetts
13744,Tyngsborough,Massachusetts
7886,Lunenburg,Massachusetts
8307,Maynard,Massachusetts
3715,Dunstable,Massachusetts
2343,Chelmsford,Massachusetts
28,Acton,Massachusetts
9696,Northborough,Massachusetts
2017,Carlisle,Massachusetts
13584,Townsend,Massachusetts
1416,Boxborough,Massachusetts
7287,Lancaster,Massachusetts
1117,Billerica,Massachusetts
2789,Concord,Massachusetts
9355,New Ipswich,New Hampshire
8236,Mason,New Hampshire
1601,Brookline,New Hampshire
14601,Weston,Massachusetts
14796,Wilton,New Hampshire
8632,Milford,New Hampshire
341,Antrim,New Hampshire
8827,Mont Vernon,New Hampshire
14566,Westborough,Massachusetts
14341,Weare,New Hampshire
8529,Merrimack,New Hampshire
849,Bedford,New Hampshire
9301,New Boston,New Hampshire
7719,Londonderry,New Hampshire
491,Ashland,Massachusetts
12722,Southborough,Massachusetts
13817,Upton,Massachusetts
